code,uz,ru
A07EC04,Balsalazid,Балсалазид
A07FA,Diareyaga qarshi mikroorganizmlar,Противодиарейные микроорганизмы
A07FA01,Sut kislotasini ishlab chiqaruvchi mikroorganizmlar,Микроорганизмы продуцирующие молочную кислоту
A07FA02,Saxaromitsetlar boulardii,Сахаромицеты boulardii
A07FA51,Sut kislotasini ishlab chiqaruvchi mikroorganizmlar boshqa vositalar bilan majmuada,"Микроорганизмы, продуцирующие молочную кислоту в комбинации со средствами"
A07XA,Boshqa diareyaga qarshi preparatlar,Другие противодиарейные препараты
A07XA01,Albumin tannat,Альбумин таннати
A07XA02,Seratoniy,Цератония
A07XA03,Kalsiy preparatlari,Кальция препараты
A07XA04,Asetorfan,Ацеторфан
A07XA51,Albumin tannati boshqa vositalar bilan majmuada,Альбумин таннат в комбинации со средствами
A08AA,Semizlikni davolash uchun markaziy taʼsirga ega preparatlar,Препараты центрального действия для лечения ожирения
A08AA01,Fentermin,Фентермин
A08AA02,Fenfluramin,Фенфлурамин
A08AA03,Amfepramon,Амфепрамон
A08AA04,Deksfenfluramin,Дексфенфлурамин
A08AA05,Mazindol,Мазиндол
A08AA06,Etilamfetamin,Этиламфетамин
A08AA07,Katin,Катин
